Invoice,ProductID,Product,QuantityBought,Date,Price,CustomerID,Age,Gender,AverageSpend,PurchaseFrequency,Country,Category_x,Description_y,text
221958,3180,Wall Clock,4,2021-01-01 00:00:00.000000000,34.04,81117,29,Female,97.34,High,United Kingdom,Home Decor,"A matte-finish wall clock featuring silent quartz movement and contrasting hour markers for clear, low-glare visibility.","Wall Clock Home Decor A matte-finish wall clock featuring silent quartz movement and contrasting hour markers for clear, low-glare visibility."
771155,5892,Ceramic Mug,6,2021-01-01 01:00:00.000000000,94.43,71158,33,Male,273.44,High,USA,Kitchen,A kiln-fired ceramic mug with a heat-retaining body and ergonomic handle designed for comfortable one-hand use.,Ceramic Mug Kitchen A kiln-fired ceramic mug with a heat-retaining body and ergonomic handle designed for comfortable one-hand use.
231932,8043,Ceramic Mug,3,2021-01-01 02:00:00.000000000,112.72,44782,58,Male,128.34,High,Canada,Kitchen,A kiln-fired ceramic mug with a heat-retaining body and ergonomic handle designed for comfortable one-hand use.,Ceramic Mug Kitchen A kiln-fired ceramic mug with a heat-retaining body and ergonomic handle designed for comfortable one-hand use.
465838,1137,Ceramic Mug,6,2021-01-01 03:00:00.000000000,112.0,95709,49,Female,214.24,High,United Kingdom,Kitchen,A kiln-fired ceramic mug with a heat-retaining body and ergonomic handle designed for comfortable one-hand use.,Ceramic Mug Kitchen A kiln-fired ceramic mug with a heat-retaining body and ergonomic handle designed for comfortable one-hand use.
359178,7327,Desk Organizer,2,2021-01-01 04:00:00.000000000,80.61,88533,32,Male,178.9,Low,USA,Office,"A multi-compartment organizer with modular slots for pens, sticky notes, accessories, and small stationery items.","Desk Organizer Office A multi-compartment organizer with modular slots for pens, sticky notes, accessories, and small stationery items."
744167,4472,Home Decor Lamp,8,2021-01-01 05:00:00.000000000,14.93,68255,44,Male,22.57,Low,United Kingdom,Lighting / Decor,A soft-glow LED lamp with a frosted acrylic shade that distributes warm light evenly for ambient room lighting.,Home Decor Lamp Lighting / Decor A soft-glow LED lamp with a frosted acrylic shade that distributes warm light evenly for ambient room lighting.
210268,6449,Storage Box,2,2021-01-01 06:00:00.000000000,58.81,82684,45,Male,106.69,Medium,Canada,Storage,A reinforced polypropylene storage box featuring snap-lock edges for secure organization of household items.,Storage Box Storage A reinforced polypropylene storage box featuring snap-lock edges for secure organization of household items.
832180,3832,Desk Organizer,7,2021-01-01 07:00:00.000000000,138.51,66918,34,Male,326.24,High,Australia,Office,"A multi-compartment organizer with modular slots for pens, sticky notes, accessories, and small stationery items.","Desk Organizer Office A multi-compartment organizer with modular slots for pens, sticky notes, accessories, and small stationery items."
154886,4579,Bluetooth Speaker,9,2021-01-01 08:00:00.000000000,89.75,94284,19,Male,130.45,High,Australia,Electronics,,
237337,6971,Storage Box,1,2021-01-01 09:00:00.000000000,83.06,89558,53,Female,183.06,Low,Australia,Storage,A reinforced polypropylene storage box featuring snap-lock edges for secure organization of household items.,Storage Box Storage A reinforced polypropylene storage box featuring snap-lock edges for secure organization of household items.
